Flight No 1 -> landing time: 15; runway 1; cost 15; duration 2
Flight No 2 -> landing time: 44; runway 1; cost 1610; duration 5
Flight No 3 -> landing time: 81; runway 1; cost 733; duration 4
Flight No 4 -> landing time: 43; runway 1; cost 1729; duration 20
Flight No 5 -> landing time: 72; runway 1; cost 12; duration 3
Flight No 6 -> landing time: 93; runway 1; cost 35; duration 12
Flight No 7 -> landing time: 137; runway 1; cost 66; duration 4
Flight No 8 -> landing time: 127; runway 1; cost 720; duration 10
Flight No 9 -> landing time: 40; runway 1; cost 1525; duration 20
Flight No 10 -> landing time: 78; runway 1; cost 708; duration 5
Flight No 11 -> landing time: 161; runway 1; cost 22; duration 2
Flight No 12 -> landing time: 129; runway 1; cost 910; duration 5
Flight No 13 -> landing time: 169; runway 1; cost 742; duration 4
Flight No 14 -> landing time: 177; runway 1; cost 1631; duration 20
Flight No 15 -> landing time: 195; runway 1; cost 730; duration 3
Flight No 16 -> landing time: 288; runway 1; cost 768; duration 12
Flight No 17 -> landing time: 299; runway 1; cost 1060; duration 4
Flight No 18 -> landing time: 244; runway 1; cost 1; duration 10
Flight No 19 -> landing time: 170; runway 1; cost 1500; duration 20
Flight No 20 -> landing time: 207; runway 1; cost 17; duration 5
